model,n,tp,fp,fn,tn,precision,recall,f1,accuracy
autoencoder_A,0,0,0,0,0,0.0,0.0,0.0,0.0
autoencoder_B,0,0,0,0,0,0.0,0.0,0.0,0.0
csr_A,2,2,0,0,0,1.0,1.0,1.0,1.0
csr_B,2,2,0,0,0,1.0,1.0,1.0,1.0
hybrid,0,0,0,0,0,0.0,0.0,0.0,0.0
iforest_A,0,0,0,0,0,0.0,0.0,0.0,0.0
iforest_B,0,0,0,0,0,0.0,0.0,0.0,0.0
lstm,24,0,0,2,22,0.0,0.0,0.0,0.9166666666666666
multi_pred_A,2,0,0,2,0,0.0,0.0,0.0,0.0
multi_pred_B,2,0,0,2,0,0.0,0.0,0.0,0.0
patchTST,24,0,0,2,22,0.0,0.0,0.0,0.9166666666666666
svm_A,0,0,0,0,0,0.0,0.0,0.0,0.0
svm_B,0,0,0,0,0,0.0,0.0,0.0,0.0
iforest_output,94,0,5,0,89,0.0,0.0,0.0,0.9468085106382979
svm_output,94,0,35,0,59,0.0,0.0,0.0,0.6276595744680851
